Date,Price,Open,High,Low,Volume,Change(%)
11 Nov 2022,18349.7,18272.35,18362.3,18259.35,378469072,1.78%
10 Nov 2022,18028.2,18044.35,18103.1,17969.4,256451785,-0.71%
09 Nov 2022,18157,18288.25,18296.4,18117.5,307155149,-0.25%
07 Nov 2022,18202.8,18211.75,18255.5,18064.75,314758398,0.47%
04 Nov 2022,18117.15,18053.4,18135.1,18017.15,267941526,0.36%
03 Nov 2022,18052.7,17968.35,18106.3,17959.2,212968291,-0.17%
02 Nov 2022,18082.85,18177.9,18178.75,18048.65,270878019,-0.34%
01 Nov 2022,18145.4,18130.7,18175.8,18060.15,349924808,0.74%
31 Oct 2022,18012.2,17910.2,18022.8,17899.9,227174539,1.27%
28 Oct 2022,17786.8,17756.4,17838.9,17723.7,250030113,0.28%
27 Oct 2022,17736.95,17771.4,17783.9,17654.5,324649088,0.46%
25 Oct 2022,17656.35,17808.3,17811.5,17637,251358203,-0.42%
24 Oct 2022,17730.75,17736.35,17777.55,17707.4,45029477,0.88%
21 Oct 2022,17576.3,17622.85,17670.15,17520.75,277702680,0.07%
20 Oct 2022,17563.95,17423.1,17584.15,17421,249604832,0.30%
19 Oct 2022,17512.25,17568.15,17607.6,17472.85,210480869,0.14%
18 Oct 2022,17486.95,17438.75,17527.8,17434.05,239493630,1.01%
17 Oct 2022,17311.8,17144.8,17328.55,17098.55,212223419,0.73%
14 Oct 2022,17185.7,17322.3,17348.55,17169.75,226997138,1.01%
13 Oct 2022,17014.35,17087.35,17112.35,16956.95,266438674,-0.64%
12 Oct 2022,17123.6,17025.55,17142.35,16960.05,256037322,0.82%
11 Oct 2022,16983.55,17256.05,17261.8,16950.3,282617982,-1.49%
10 Oct 2022,17241,17094.35,17280.15,17064.7,234005512,-0.43%
07 Oct 2022,17314.65,17287.2,17337.35,17216.95,216273136,-0.10%
06 Oct 2022,17331.8,17379.25,17428.8,17315.65,268239320,0.33%
04 Oct 2022,17274.3,17147.45,17287.3,17117.3,231601639,2.29%
03 Oct 2022,16887.35,17102.1,17114.65,16855.55,285850587,-1.21%
30 Sep 2022,17094.35,16798.05,17187.1,16747.7,376114866,1.64%
29 Sep 2022,16818.1,16993.6,17026.05,16788.6,340034380,-0.24%
28 Sep 2022,16858.6,16870.55,17037.6,16820.4,323922457,-0.87%
27 Sep 2022,17007.4,17110.9,17176.45,16942.35,359895458,-0.05%
26 Sep 2022,17016.3,17156.3,17196.4,16978.3,492002942,-1.80%
23 Sep 2022,17327.35,17593.85,17642.15,17291.65,390754862,-1.72%
22 Sep 2022,17629.8,17609.65,17722.75,17532.45,284094023,-0.50%
21 Sep 2022,17718.35,17766.35,17838.7,17663.6,245532498,-0.55%
20 Sep 2022,17816.25,17770.4,17919.3,17744.4,263100874,1.10%
19 Sep 2022,17622.25,17540.65,17667.2,17429.7,258329581,0.52%
16 Sep 2022,17530.85,17796.8,17820.05,17497.25,468464263,-1.94%
15 Sep 2022,17877.4,18046.35,18096.15,17861.5,289637528,-0.70%
14 Sep 2022,18003.75,17771.15,18091.55,17771.15,365866933,-0.37%
13 Sep 2022,18070.05,18044.45,18088.3,18015.45,259922741,0.75%
12 Sep 2022,17936.35,17890.85,17980.55,17889.15,228242025,0.58%
09 Sep 2022,17833.35,17923.35,17925.95,17786,270299618,0.19%
08 Sep 2022,17798.75,17748.15,17807.65,17691.95,279845682,0.99%
07 Sep 2022,17624.4,17519.4,17650.75,17484.3,354137885,-0.18%
06 Sep 2022,17655.6,17695.7,17764.65,17587.65,251204527,-0.06%
05 Sep 2022,17665.8,17546.45,17683.15,17540.35,230309013,0.72%
02 Sep 2022,17539.45,17598.4,17643.85,17476.45,256268616,-0.02%
01 Sep 2022,17542.8,17485.7,17695.6,17468.45,308526598,-1.22%
30 Aug 2022,17759.3,17414.95,17777.65,17401.5,324687477,2.58%
29 Aug 2022,17312.9,17188.65,17380.15,17166.2,244854637,-1.40%
26 Aug 2022,17558.9,17619.3,17685.85,17519.35,266636238,0.21%
25 Aug 2022,17522.45,17679,17726.5,17487.45,230181848,-0.47%
24 Aug 2022,17604.95,17525.45,17623.65,17499.25,261953239,0.16%
23 Aug 2022,17577.5,17357.35,17625.55,17345.2,285616338,0.50%
22 Aug 2022,17490.7,17682.9,17690.05,17467.35,287559133,-1.51%
19 Aug 2022,17758.45,17966.55,17992.2,17710.75,295627263,-1.10%
18 Aug 2022,17956.5,17898.65,17968.45,17852.05,263914197,0.07%
17 Aug 2022,17944.25,17868.15,17965.95,17833.35,262768582,0.67%
16 Aug 2022,17825.25,17797.2,17839.1,17764.05,278042725,0.72%
12 Aug 2022,17698.15,17659.65,17724.65,17597.85,303872483,0.22%
11 Aug 2022,17659,17711.65,17719.3,17631.95,311247237,0.71%
10 Aug 2022,17534.75,17566.1,17566.1,17442.8,312716544,0.06%
08 Aug 2022,17525.1,17401.5,17548.8,17359.75,256994113,0.73%
05 Aug 2022,17397.5,17423.65,17474.4,17348.75,355310802,0.09%
04 Aug 2022,17382,17463.1,17490.7,17161.25,324981426,-0.04%
03 Aug 2022,17388.15,17349.25,17407.5,17225.85,285414666,0.25%
02 Aug 2022,17345.45,17310.15,17390.15,17215.85,333639093,0.03%
01 Aug 2022,17340.05,17243.2,17356.25,17154.8,381532671,1.06%
29 Jul 2022,17158.25,17079.5,17172.8,17018.15,436059722,1.35%
28 Jul 2022,16929.6,16774.85,16947.65,16746.25,376256315,1.73%
27 Jul 2022,16641.8,16475.35,16653.45,16438.75,185210970,0.96%
26 Jul 2022,16483.85,16632.9,16636.1,16463.3,208208122,-0.88%
25 Jul 2022,16631,16662.55,16706.05,16564.25,211392171,-0.53%
22 Jul 2022,16719.45,16661.25,16752.25,16610.9,190906776,0.69%
21 Jul 2022,16605.25,16523.55,16626.95,16483.9,243625339,0.51%
20 Jul 2022,16520.85,16562.8,16588,16490.95,284359582,1.10%
19 Jul 2022,16340.55,16187.05,16359.5,16187.05,222630928,0.38%
18 Jul 2022,16278.5,16151.4,16287.95,16142.2,227744850,1.43%
15 Jul 2022,16049.2,16010.8,16066.95,15927.3,205768079,0.69%
14 Jul 2022,15938.65,16018.85,16070.85,15858.2,228603433,-0.18%
13 Jul 2022,15966.65,16128.2,16140,15950.15,233264100,-0.57%
12 Jul 2022,16058.3,16126.2,16158.75,16031.15,208648707,-0.97%
11 Jul 2022,16216,16136.15,16248.55,16115.5,255915072,-0.03%
08 Jul 2022,16220.6,16273.65,16275.5,16157.9,281102369,0.54%
07 Jul 2022,16132.9,16113.75,16150.5,16045.95,264615218,0.89%
06 Jul 2022,15989.8,15818.2,16011.35,15800.9,288375300,1.13%
05 Jul 2022,15810.85,15909.15,16025.75,15785.45,254164463,-0.15%
04 Jul 2022,15835.35,15710.5,15852.35,15661.8,304328467,0.53%
01 Jul 2022,15752.05,15703.7,15793.95,15511.05,364090131,-0.18%
30 Jun 2022,15780.25,15774.5,15890,15728.85,306027777,-0.12%
29 Jun 2022,15799.1,15701.7,15861.6,15687.8,444949551,-0.32%
28 Jun 2022,15850.2,15757.45,15892.1,15710.15,251865155,0.11%
27 Jun 2022,15832.05,15926.2,15927.45,15815.5,210932505,0.85%
24 Jun 2022,15699.25,15657.4,15749.25,15619.45,219599372,0.92%
23 Jun 2022,15556.65,15451.55,15628.45,15367.5,259171810,0.93%
22 Jun 2022,15413.3,15545.65,15565.4,15385.95,220889589,-1.44%
21 Jun 2022,15638.8,15455.95,15707.25,15419.85,262794687,1.88%
20 Jun 2022,15350.15,15334.5,15382.5,15191.1,260022438,0.37%
17 Jun 2022,15293.5,15272.65,15400.4,15183.4,342629997,-0.44%
16 Jun 2022,15360.6,15832.25,15863.15,15335.1,264735957,-2.11%
15 Jun 2022,15692.15,15729.25,15783.65,15678.9,183011236,-0.25%
14 Jun 2022,15732.1,15674.25,15858,15659.45,225425862,-0.27%
13 Jun 2022,15774.4,15877.55,15886.15,15684,225534385,-2.64%
10 Jun 2022,16201.8,16283.95,16324.7,16172.6,189680523,-1.68%
09 Jun 2022,16478.1,16263.85,16492.8,16243.85,204954394,0.74%
08 Jun 2022,16356.25,16474.95,16514.3,16293.35,243481044,-0.37%
07 Jun 2022,16416.35,16469.6,16487.25,16347.1,233814633,-0.92%
06 Jun 2022,16569.55,16530.7,16610.95,16444.55,233589132,-0.09%
03 Jun 2022,16584.3,16761.65,16793.85,16567.9,245514871,-0.26%
02 Jun 2022,16628,16481.65,16646.4,16443.05,235958283,0.64%
01 Jun 2022,16522.75,16594.4,16649.2,16438.85,249619038,-0.37%
31 May 2022,16584.55,16578.45,16690.75,16521.9,651613610,-0.46%
30 May 2022,16661.4,16527.9,16695.5,16506.15,251400757,1.89%
27 May 2022,16352.45,16296.6,16370.6,16221.95,274064956,1.13%
26 May 2022,16170.15,16105,16204.45,15903.7,314305739,0.90%
25 May 2022,16025.8,16196.35,16223.35,16006.95,243342347,-0.62%
24 May 2022,16125.15,16225.55,16262.8,16078.6,249778296,-0.55%
23 May 2022,16214.7,16290.95,16414.7,16185.75,293829853,-0.32%
20 May 2022,16266.15,16043.8,16283.05,16003.85,252402013,2.89%
19 May 2022,15809.4,15917.4,15984.75,15775.2,313876082,-2.65%
18 May 2022,16240.3,16318.15,16399.8,16211.2,290441105,-0.12%
17 May 2022,16259.3,15912.6,16284.25,15900.8,295687774,2.63%
16 May 2022,15842.3,15845.1,15977.95,15739.65,217646558,0.38%
13 May 2022,15782.15,15977,16083.6,15740.85,369135540,-0.16%
12 May 2022,15808,16021.1,16041.95,15735.75,314921678,-2.22%
11 May 2022,16167.1,16270.05,16318.75,15992.6,284294438,-0.45%
10 May 2022,16240.05,16248.9,16404.55,16197.3,283061200,-0.38%
09 May 2022,16301.85,16227.7,16403.7,16142.1,288402950,-0.67%
06 May 2022,16411.25,16415.55,16484.2,16340.9,300527719,-1.63%
05 May 2022,16682.65,16854.75,16945.7,16651.85,265793403,0.03%
04 May 2022,16677.6,17096.6,17132.85,16623.95,310632799,-2.29%
02 May 2022,17069.1,16924.45,17092.25,16917.25,278155513,-0.20%
29 Apr 2022,17102.55,17329.25,17377.65,17053.25,336243642,-0.83%
28 Apr 2022,17245.05,17189.5,17322.5,17071.05,312914417,1.21%
27 Apr 2022,17038.4,17073.35,17110.7,16958.45,265140480,-0.94%
26 Apr 2022,17200.8,17121.3,17223.85,17064.45,261065753,1.46%
25 Apr 2022,16953.95,17009.05,17054.3,16888.7,275685925,-1.27%
22 Apr 2022,17171.95,17242.75,17315.3,17149.2,262739740,-1.27%
21 Apr 2022,17392.6,17234.6,17414.7,17215.5,285200022,1.49%
20 Apr 2022,17136.55,17045.25,17186.9,16978.95,286069736,1.05%
19 Apr 2022,16958.65,17258.95,17275.65,16824.7,401399563,-1.25%
18 Apr 2022,17173.65,17183.45,17237.75,17067.85,376130248,-1.73%
13 Apr 2022,17475.65,17599.9,17663.65,17457.4,245061941,-0.31%
12 Apr 2022,17530.3,17584.85,17595.3,17442.35,266029060,-0.82%
11 Apr 2022,17674.95,17740.9,17779.05,17650.95,251701846,-0.62%
08 Apr 2022,17784.35,17698.15,17842.75,17600.55,274447433,0.82%
07 Apr 2022,17639.55,17723.3,17787.5,17623.7,308840215,-0.94%
06 Apr 2022,17807.65,17842.75,17901,17779.85,328824420,-0.83%
05 Apr 2022,17957.4,18080.6,18095.45,17921.55,283453612,-0.53%
04 Apr 2022,18053.4,17809.1,18114.65,17791.4,345526502,2.17%
01 Apr 2022,17670.45,17436.9,17703.7,17422.7,291773447,1.18%
31 Mar 2022,17464.75,17519.2,17559.8,17435.2,281111679,-0.19%
30 Mar 2022,17498.25,17468.15,17522.5,17387.2,505031841,1.00%
29 Mar 2022,17325.3,17297.2,17343.65,17235.7,235149625,0.60%
28 Mar 2022,17222,17181.85,17235.1,17003.9,253240837,0.40%
25 Mar 2022,17153,17289,17294.9,17076.55,237115741,-0.40%
24 Mar 2022,17222.75,17094.95,17291.75,17091.15,290280124,-0.13%
23 Mar 2022,17245.65,17405.05,17442.4,17199.6,292120348,-0.40%
22 Mar 2022,17315.5,17120.4,17334.4,17006.3,338263468,1.16%
21 Mar 2022,17117.6,17329.5,17353.35,17096.4,285451208,-0.98%
17 Mar 2022,17287.05,17202.9,17344.6,17175.75,448335248,1.84%
16 Mar 2022,16975.35,16876.65,16987.9,16837.85,259973396,1.87%
15 Mar 2022,16663,16900.65,16927.75,16555,381631902,-1.23%
14 Mar 2022,16871.3,16633.7,16887.95,16606.5,314669685,1.45%
11 Mar 2022,16630.45,16528.8,16694.4,16470.9,343717045,0.21%
10 Mar 2022,16594.9,16757.1,16757.3,16447.9,486445481,1.53%
09 Mar 2022,16345.35,16078,16418.05,15990,462231428,2.07%
08 Mar 2022,16013.45,15747.75,16028.75,15671.45,543600673,0.95%
07 Mar 2022,15863.15,15867.95,15944.6,15711.45,585403660,-2.35%
04 Mar 2022,16245.35,16339.45,16456,16133.8,456143040,-1.53%
03 Mar 2022,16498.05,16723.2,16768.95,16442.95,442068263,-0.65%
02 Mar 2022,16605.95,16593.1,16678.5,16478.65,517723542,-1.12%
28 Feb 2022,16793.9,16481.6,16815.9,16356.3,404214666,0.81%
25 Feb 2022,16658.4,16515.65,16748.8,16478.3,329780732,2.53%
24 Feb 2022,16247.95,16548.9,16705.25,16203.25,457967874,-4.78%
23 Feb 2022,17063.25,17194.5,17220.7,17027.85,200229631,-0.17%
22 Feb 2022,17092.2,16847.95,17148.55,16843.8,300131995,-0.67%
21 Feb 2022,17206.65,17192.25,17351.05,17070.7,215183301,-0.40%
18 Feb 2022,17276.3,17236.05,17380.8,17219.2,189620888,-0.16%
17 Feb 2022,17304.6,17396.55,17442.9,17235.85,232136131,-0.10%
